10/04 14:27:55, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
10/04 14:27:55, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
10/04 14:27:59, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:28:00, SENSOR, TIME (timer): TICK
10/04 14:28:05, SENSOR, TIME (timer): TICK
10/04 14:28:10, SENSOR, TIME (timer): TICK
10/04 14:28:15, SENSOR, TIME (timer): TICK
10/04 14:28:17, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:28:20, SENSOR, TIME (timer): TICK
10/04 14:28:25, SENSOR, TIME (timer): TICK
10/04 14:28:30, SENSOR, TIME (timer): TICK
10/04 14:28:35, SENSOR, TIME (timer): TICK
10/04 14:28:36, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:28:40, SENSOR, TIME (timer): TICK
10/04 14:28:45, SENSOR, TIME (timer): TICK
10/04 14:28:50, SENSOR, TIME (timer): TICK
10/04 14:28:54, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:28:55, SENSOR, TIME (timer): TICK
10/04 14:28:56, SENSOR, ACTIVITY (): STILL
10/04 14:29:00, SENSOR, TIME (timer): TICK
10/04 14:29:05, SENSOR, TIME (timer): TICK
10/04 14:29:09, SENSOR, ACTIVITY (): STILL
10/04 14:29:10, SENSOR, TIME (timer): TICK
10/04 14:29:13, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:29:15, SENSOR, TIME (timer): TICK
10/04 14:29:20, SENSOR, TIME (timer): TICK
10/04 14:29:23, SENSOR, ACTIVITY (): STILL
10/04 14:29:27, SENSOR, TIME (timer): TICK
10/04 14:29:28, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:29:30, SENSOR, TIME (timer): TICK
10/04 14:29:32, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:29:35, SENSOR, TIME (timer): TICK
10/04 14:29:38, SENSOR, ACTIVITY (): TILTING
10/04 14:29:40, SENSOR, TIME (timer): TICK
10/04 14:29:47, SENSOR, TIME (timer): TICK
10/04 14:29:50, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:29:50, SENSOR, ACTIVITY (): TILTING
10/04 14:29:50, SENSOR, TIME (timer): TICK
10/04 14:29:55, SENSOR, TIME (timer): TICK
10/04 14:30:00, SENSOR, TIME (timer): TICK
10/04 14:30:05, SENSOR, ACTIVITY (): STILL
10/04 14:30:05, SENSOR, TIME (timer): TICK
10/04 14:30:08, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:30:10, SENSOR, TIME (timer): TICK
10/04 14:30:19, SENSOR, TIME (timer): TICK
10/04 14:30:20, SENSOR, TIME (timer): TICK
10/04 14:30:28, SENSOR, TIME (timer): TICK
10/04 14:30:28, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:30:30, SENSOR, TIME (timer): TICK
10/04 14:30:33, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:30:39, SENSOR, TIME (timer): TICK
10/04 14:30:40, SENSOR, TIME (timer): TICK
10/04 14:30:48, SENSOR, TIME (timer): TICK
10/04 14:30:50, SENSOR, TIME (timer): TICK
10/04 14:30:55, SENSOR, TIME (timer): TICK
10/04 14:30:57, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:31:02, SENSOR, TIME (timer): TICK
10/04 14:31:05, SENSOR, ACTIVITY (): TILTING
10/04 14:31:05, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:31:06, SENSOR, TIME (timer): TICK
10/04 14:31:18, SENSOR, TIME (timer): TICK
10/04 14:31:18, SENSOR, TIME (timer): TICK
10/04 14:31:20, SENSOR, TIME (timer): TICK
10/04 14:31:27, SENSOR, TIME (timer): TICK
10/04 14:31:28, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:31:30, SENSOR, TIME (timer): TICK
10/04 14:31:35, SENSOR, TIME (timer): TICK
10/04 14:31:37, SENSOR, ACTIVITY (): STILL
10/04 14:31:53, SENSOR, TIME (timer): TICK
10/04 14:31:53, SENSOR, TIME (timer): TICK
