16/04 14:05:52, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:05:53, SENSOR, TIME (timer): TICK
16/04 14:05:58, SENSOR, TIME (timer): TICK
16/04 14:06:03, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:06:03, SENSOR, TIME (timer): TICK
16/04 14:06:08, SENSOR, TIME (timer): TICK
16/04 14:06:10, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:06:13, SENSOR, TIME (timer): TICK
16/04 14:06:18, SENSOR, TIME (timer): TICK
16/04 14:06:21, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:06:23, SENSOR, TIME (timer): TICK
16/04 14:06:28, SENSOR, TIME (timer): TICK
16/04 14:06:29, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:06:33, SENSOR, TIME (timer): TICK
16/04 14:06:38, SENSOR, TIME (timer): TICK
16/04 14:06:40, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:06:43, SENSOR, TIME (timer): TICK
16/04 14:06:48, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:06:48, SENSOR, TIME (timer): TICK
16/04 14:07:09, SENSOR, TIME (timer): TICK
16/04 14:07:09, SENSOR, TIME (timer): TICK
16/04 14:07:09, SENSOR, TIME (timer): TICK
16/04 14:07:09, SENSOR, TIME (timer): TICK
16/04 14:07:13, SENSOR, TIME (timer): TICK
16/04 14:07:15, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:07:22, SENSOR, TIME (timer): TICK
16/04 14:07:23, SENSOR, TIME (timer): TICK
16/04 14:07:26, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:07:30, SENSOR, TIME (timer): TICK
16/04 14:07:34, SENSOR, TIME (timer): TICK
16/04 14:07:41, SENSOR, TIME (timer): TICK
16/04 14:07:42, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:07:43, SENSOR, TIME (timer): TICK
16/04 14:08:15, SENSOR, TIME (timer): TICK
16/04 14:08:15, SENSOR, TIME (timer): TICK
16/04 14:08:15, SENSOR, TIME (timer): TICK
16/04 14:08:15, SENSOR, TIME (timer): TICK
16/04 14:08:15, SENSOR, TIME (timer): TICK
16/04 14:08:15, SENSOR, TIME (timer): TICK
16/04 14:08:17, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:08:34, SENSOR, TIME (timer): TICK
16/04 14:08:34, SENSOR, TIME (timer): TICK
16/04 14:08:34, SENSOR, TIME (timer): TICK
16/04 14:08:34, SENSOR, TIME (timer): TICK
16/04 14:08:38, SENSOR, TIME (timer): TICK
16/04 14:08:42, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:08:43, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:03, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:10:03, SENSOR, TIME (timer): TICK
16/04 14:10:08, SENSOR, TIME (timer): TICK
16/04 14:10:13, SENSOR, TIME (timer): TICK
16/04 14:10:15, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:10:18, SENSOR, TIME (timer): TICK
16/04 14:10:21, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:10:23, SENSOR, TIME (timer): TICK
16/04 14:10:26, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:10:28, SENSOR, TIME (timer): TICK
16/04 14:10:30, SENSOR, ACTIVITY (): TILTING
16/04 14:10:33, SENSOR, TIME (timer): TICK
16/04 14:10:34, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:10:38, SENSOR, TIME (timer): TICK
16/04 14:10:41, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:10:44, SENSOR, TIME (timer): TICK
16/04 14:10:46, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:10:48, SENSOR, TIME (timer): TICK
16/04 14:10:54, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:10:54, SENSOR, TIME (timer): TICK
16/04 14:10:58, SENSOR, TIME (timer): TICK
16/04 14:11:00, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:03, SENSOR, TIME (timer): TICK
16/04 14:11:05, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:08, SENSOR, TIME (timer): TICK
16/04 14:11:12, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:13, SENSOR, TIME (timer): TICK
16/04 14:11:18, SENSOR, TIME (timer): TICK
16/04 14:11:18, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:20, SENSOR, ACTIVITY (): STILL
16/04 14:11:24, SENSOR, TIME (timer): TICK
16/04 14:11:24, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:28, SENSOR, TIME (timer): TICK
16/04 14:11:31, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:33, SENSOR, TIME (timer): TICK
16/04 14:11:34, SENSOR, ACTIVITY (): STILL
16/04 14:11:38, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:39, SENSOR, TIME (timer): TICK
16/04 14:11:43, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:43, SENSOR, TIME (timer): TICK
16/04 14:11:48, SENSOR, TIME (timer): TICK
16/04 14:11:48, SENSOR, ACTIVITY (): STILL
16/04 14:11:50, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:53, SENSOR, TIME (timer): TICK
16/04 14:11:56, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:11:58, SENSOR, TIME (timer): TICK
16/04 14:12:01, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:12:02, SENSOR, ACTIVITY (): STILL
16/04 14:12:03, SENSOR, TIME (timer): TICK
16/04 14:12:11, SENSOR, TIME (timer): TICK
16/04 14:12:12, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:12:12, SENSOR, ACTIVITY (): STILL
16/04 14:12:13, SENSOR, TIME (timer): TICK
16/04 14:12:19, SENSOR, TIME (timer): TICK
16/04 14:12:20, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:12:23, SENSOR, TIME (timer): TICK
16/04 14:12:24, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:12:26, SENSOR, ACTIVITY (): STILL
16/04 14:12:28, SENSOR, TIME (timer): TICK
16/04 14:12:32, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:12:33, SENSOR, TIME (timer): TICK
16/04 14:12:38, SENSOR, TIME (timer): TICK
16/04 14:12:39, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:12:41, SENSOR, ACTIVITY (): STILL
16/04 14:12:43, SENSOR, TIME (timer): TICK
16/04 14:12:43, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:12:54, SENSOR, TIME (timer): TICK
16/04 14:12:54, SENSOR, TIME (timer): TICK
16/04 14:12:55, SENSOR, ACTIVITY (): STILL
16/04 14:12:57, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:13:08, SENSOR, TIME (timer): TICK
16/04 14:13:08, SENSOR, TIME (timer): TICK
16/04 14:13:08, SENSOR, TIME (timer): TICK
16/04 14:13:12, SENSOR, ACTIVITY (): STILL
16/04 14:13:13, SENSOR, TIME (timer): TICK
16/04 14:13:14, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:13:18, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:13:18, SENSOR, TIME (timer): TICK
16/04 14:13:25, SENSOR, TIME (timer): TICK
16/04 14:13:27, SENSOR, ACTIVITY (): STILL
16/04 14:13:28, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:13:28, SENSOR, TIME (timer): TICK
16/04 14:13:41, SENSOR, TIME (timer): TICK
16/04 14:13:41, SENSOR, TIME (timer): TICK
16/04 14:13:41, SENSOR, ACTIVITY (): STILL
16/04 14:13:43, SENSOR, TIME (timer): TICK
16/04 14:13:43, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:13:47, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:13:51, SENSOR, TIME (timer): TICK
16/04 14:13:53, SENSOR, TIME (timer): TICK
16/04 14:13:55, SENSOR, ACTIVITY (): STILL
16/04 14:13:57, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:06, SENSOR, TIME (timer): TICK
16/04 14:14:06, SENSOR, TIME (timer): TICK
16/04 14:14:08, SENSOR, TIME (timer): TICK
16/04 14:14:12, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:12, SENSOR, ACTIVITY (): STILL
16/04 14:14:13, SENSOR, TIME (timer): TICK
16/04 14:14:17, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:18, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
16/04 14:14:18, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
16/04 14:14:18, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:19, SENSOR, TIME (timer): TICK
16/04 14:14:23, SENSOR, TIME (timer): TICK
16/04 14:14:24, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:26, SENSOR, ACTIVITY (): TILTING
16/04 14:14:28, SENSOR, TIME (timer): TICK
16/04 14:14:31, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:33, SENSOR, TIME (timer): TICK
16/04 14:14:35, SENSOR, ACTIVITY (): TILTING
16/04 14:14:36, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:40, SENSOR, TIME (timer): TICK
16/04 14:14:43, SENSOR, TIME (timer): TICK
16/04 14:14:45, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:50, SENSOR, TIME (timer): TICK
16/04 14:14:54, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:54, SENSOR, TIME (timer): TICK
16/04 14:14:58, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:58, SENSOR, TIME (timer): TICK
16/04 14:15:02, SENSOR, ACTIVITY (): STILL
16/04 14:15:03, SENSOR, TIME (timer): TICK
16/04 14:15:05, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:08, SENSOR, TIME (timer): TICK
16/04 14:15:12, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:13, SENSOR, ACTIVITY (): STILL
